Ticker
CAH
COP
GPC
LW
TSLA
ALB
WM
CMG
MCK
PWR
SBUX
ADM
ORLY
IEX
OXY
MCD
REGN
XYL
HSY
XOM
EOG
ROL
PEP
SNA
CMI
CTAS
CDNS
TJX
AZO
CTXS
DVN
FTV
MRO
MRK
KDP
GWW
ULTA
CLX
FANG
JKHY
MOS
ATO
IT
LLY
TXN
CVX
SLB
DHI
CSGP
ABBV
MNST
PXD
ROST
DHR
NDSN
VMC
CL
KO
PTC
JNJ
APD
MLM
VLO
SNPS
ETN
ALK
BSX
ADI
ITW
AMGN
IR
PG
NVR
AVY
PSX
ROK
DAL
BWA
ATVI
A
LOW
WAB
BIIB
ABC
BMY
INTU
RL
KMB
CHRW
TEL
DLTR
SYK
NXPI
RMD
JBHT
CPRT
TSCO
FMC
TMO
CDAY
TYL
MPWR
ADSK
ODFL
FAST
UNP
NSC
DGX
ECL
PFE
AVGO
HD
MAS
TPR
JCI
PPG
EL
ABT
TGT
UPS
MDT
CSX
TTWO
NUE
DOV
HOLX
HSIC
MTD
HAL
APTV
EMR
SHW
ROP
ILMN
MSFT
AAP
CTSH
IPG
ANSS
NKE
HAS
TRMB
ZTS
LUV
HPQ
BAX
LYB
WBA
POOL
LRCX
AKAM
IDXX
AOS
FLT
CHD
FBHS
EW
PKI
AMD
MMM
STE
AMAT
ALLE
GRMN
IFF
QRVO
PKG
TER
PNR
INTC
CRM
COO
TFX
FDX
MU
ALGN
SWK
TECH
WST
VFC
XRAY
ADBE
MHK
